Date,Average-Hourly-Earnings,Average-weekly-hours,Civilian-Labor-Force-Level,Consumer-Price-Index ,Total-Nonfarm-Payrolls,Unemployment-Rate
2006-01-01,,,150214.0,198.3,135427.0,4.7
2006-02-01,,,150641.0,198.7,135733.0,4.8
2006-03-01,20.04,34.2,150813.0,199.8,136038.0,4.7
2006-04-01,20.17,34.3,150881.0,201.5,136210.0,4.7
2006-05-01,20.13,34.3,151069.0,202.5,136249.0,4.6
2006-06-01,20.22,34.4,151354.0,202.9,136337.0,4.6
2006-07-01,20.29,34.3,151377.0,203.5,136529.0,4.7
2006-08-01,20.32,34.3,151716.0,203.9,136692.0,4.7
2006-09-01,20.4,34.4,151662.0,202.9,136826.0,4.5
2006-10-01,20.42,34.3,152041.0,201.8,136843.0,4.4
2006-11-01,20.49,34.3,152406.0,201.5,137060.0,4.5
2006-12-01,20.58,34.5,152732.0,201.8,137249.0,4.4
2007-01-01,20.59,34.3,153144.0,202.416,137472.0,4.6
2007-02-01,20.68,34.3,152983.0,203.499,137560.0,4.5
2007-03-01,20.72,34.4,153051.0,205.352,137784.0,4.4
2007-04-01,20.79,34.4,152435.0,206.686,137847.0,4.5
2007-05-01,20.84,34.4,152670.0,207.949,137992.0,4.4
2007-06-01,20.95,34.5,153041.0,208.352,138070.0,4.6
2007-07-01,20.94,34.4,153054.0,208.299,138044.0,4.7
2007-08-01,21.0,34.4,152749.0,207.917,138013.0,4.6
2007-09-01,21.04,34.4,153414.0,208.49,138099.0,4.7
2007-10-01,21.06,34.3,153183.0,208.936,138175.0,4.7
2007-11-01,21.12,34.4,153835.0,210.177,138290.0,4.7
2007-12-01,21.16,34.4,153918.0,210.036,138395.0,5.0
2008-01-01,21.19,34.4,154063.0,211.08,138391.0,5.0
2008-02-01,21.27,34.4,153653.0,211.693,138329.0,4.9
2008-03-01,21.36,34.4,153908.0,213.528,138259.0,5.1
2008-04-01,21.38,34.4,153769.0,214.823,138040.0,5.0
2008-05-01,21.47,34.4,154303.0,216.632,137851.0,5.4
2008-06-01,21.52,34.3,154313.0,218.815,137700.0,5.6
2008-07-01,21.6,34.3,154469.0,219.964,137497.0,5.8
2008-08-01,21.7,34.3,154641.0,219.086,137211.0,6.1
2008-09-01,21.73,34.2,154570.0,218.783,136760.0,6.1
2008-10-01,21.76,34.3,154876.0,216.573,136291.0,6.5
2008-11-01,21.86,34.1,154639.0,212.425,135541.0,6.8
2008-12-01,21.95,33.9,154655.0,210.228,134847.0,7.3
2009-01-01,21.96,34.0,154210.0,211.143,134079.0,7.8
2009-02-01,21.98,34.0,154538.0,212.193,133318.0,8.3
2009-03-01,22.05,33.8,154133.0,212.709,132494.0,8.7
2009-04-01,22.1,33.8,154509.0,213.24,131822.0,9.0
2009-05-01,22.12,33.8,154747.0,213.856,131466.0,9.4
2009-06-01,22.14,33.7,154716.0,215.693,131008.0,9.5
2009-07-01,22.18,33.8,154502.0,215.351,130662.0,9.5
2009-08-01,22.23,33.8,154307.0,215.834,130472.0,9.6
2009-09-01,22.27,33.9,153827.0,215.969,130246.0,9.8
2009-10-01,22.31,33.8,153784.0,216.177,130061.0,10.0
2009-11-01,22.34,33.9,153878.0,216.33,130057.0,9.9
2009-12-01,22.37,33.9,153111.0,215.949,129808.0,9.9
2010-01-01,22.4,34.0,153484.0,216.687,129802.0,9.8
2010-02-01,22.46,33.8,153694.0,216.741,129706.0,9.8
2010-03-01,22.46,34.0,153954.0,217.631,129866.0,9.9
2010-04-01,22.49,34.1,154622.0,218.009,130120.0,9.9
2010-05-01,22.51,34.2,154091.0,218.178,130642.0,9.6
2010-06-01,22.53,34.1,153616.0,217.965,130510.0,9.4
2010-07-01,22.59,34.2,153691.0,218.011,130415.0,9.4
2010-08-01,22.62,34.2,154086.0,218.312,130415.0,9.5
2010-09-01,22.67,34.3,153975.0,218.439,130341.0,9.5
2010-10-01,22.73,34.3,153635.0,218.711,130620.0,9.4
2010-11-01,22.73,34.2,154125.0,218.803,130749.0,9.8
2010-12-01,22.76,34.3,153650.0,219.179,130830.0,9.3
2011-01-01,22.87,34.2,153263.0,220.223,130837.0,9.1
2011-02-01,22.87,34.3,153214.0,221.309,131057.0,9.0
2011-03-01,22.87,34.3,153376.0,223.467,131283.0,9.0
2011-04-01,22.91,34.4,153543.0,224.906,131597.0,9.1
2011-05-01,22.97,34.4,153479.0,225.964,131703.0,9.0
2011-06-01,23.0,34.3,153346.0,225.722,131931.0,9.1
2011-07-01,23.11,34.4,153288.0,225.922,131992.0,9.0
2011-08-01,23.06,34.3,153760.0,226.545,132125.0,9.0
2011-09-01,23.11,34.4,154131.0,226.889,132344.0,9.0
2011-10-01,23.18,34.5,153961.0,226.421,132553.0,8.8
2011-11-01,23.19,34.4,154128.0,226.23,132690.0,8.6
2011-12-01,23.22,34.4,153995.0,225.672,132888.0,8.5
2012-01-01,23.26,34.5,154381.0,226.665,133246.0,8.3
2012-02-01,23.28,34.5,154671.0,227.663,133509.0,8.3
2012-03-01,23.36,34.5,154749.0,229.392,133748.0,8.2
2012-04-01,23.39,34.4,154545.0,230.085,133825.0,8.2
2012-05-01,23.41,34.3,154866.0,229.815,133932.0,8.2
2012-06-01,23.46,34.4,155083.0,229.478,134013.0,8.2
2012-07-01,23.49,34.4,154948.0,229.104,134157.0,8.2
2012-08-01,23.48,34.4,154763.0,230.379,134339.0,8.1
2012-09-01,23.57,34.4,155160.0,231.407,134517.0,7.8
2012-10-01,23.56,34.4,155554.0,231.317,134669.0,7.8
2012-11-01,23.63,34.4,155338.0,230.221,134825.0,7.7
2012-12-01,23.72,34.5,155628.0,229.601,135074.0,7.9
2013-01-01,23.74,34.4,155763.0,230.28,135257.0,8.0
2013-02-01,23.78,34.5,155312.0,232.166,135546.0,7.7
2013-03-01,23.8,34.5,155005.0,232.773,135689.0,7.5
2013-04-01,23.87,34.4,155394.0,232.531,135873.0,7.6
2013-05-01,23.89,34.4,155536.0,232.945,136096.0,7.5
2013-06-01,23.96,34.5,155749.0,233.504,136279.0,7.5
2013-07-01,23.98,34.4,155599.0,233.596,136391.0,7.3
2013-08-01,24.02,34.5,155605.0,233.877,136646.0,7.2
2013-09-01,24.06,34.4,155687.0,234.149,136821.0,7.2
2013-10-01,24.09,34.4,154673.0,233.546,137041.0,7.2
2013-11-01,24.16,34.4,155265.0,233.069,137317.0,6.9
2013-12-01,24.18,34.4,155182.0,233.049,137372.0,6.7
2014-01-01,24.22,34.4,155352.0,233.916,137561.0,6.6
2014-02-01,24.33,34.3,155483.0,234.781,137712.0,6.7
2014-03-01,24.31,34.5,156028.0,236.293,137985.0,6.7
2014-04-01,24.34,34.5,155369.0,237.072,138298.0,6.2
2014-05-01,24.4,34.5,155684.0,237.9,138513.0,6.3
2014-06-01,24.46,34.5,155707.0,238.343,138849.0,6.1
2014-07-01,24.48,34.5,156007.0,238.25,139072.0,6.2
2014-08-01,24.54,34.6,156130.0,237.852,139269.0,6.1
2014-09-01,24.56,34.5,156040.0,238.031,139563.0,5.9
2014-10-01,24.59,34.6,156417.0,237.433,139798.0,5.7
2014-11-01,24.66,34.6,156494.0,236.151,140089.0,5.8
2014-12-01,24.63,34.6,156332.0,234.812,140364.0,5.6
2015-01-01,24.74,34.5,157030.0,233.707,140568.0,5.7
2015-02-01,24.79,34.6,156644.0,234.722,140827.0,5.5
2015-03-01,24.85,34.5,156643.0,236.119,140923.0,5.4
2015-04-01,24.89,34.5,157060.0,236.599,141196.0,5.4
2015-05-01,24.97,34.5,157651.0,237.805,141538.0,5.6
2015-06-01,24.97,34.5,157062.0,238.638,141709.0,5.3
2015-07-01,25.01,34.6,156997.0,238.654,141991.0,5.2
2015-08-01,25.1,34.6,157172.0,238.316,142125.0,5.1
2015-09-01,25.11,34.5,156733.0,237.945,142275.0,5.0
2015-10-01,25.2,34.5,157167.0,237.838,142579.0,5.0
2015-11-01,25.25,34.5,157463.0,237.336,142808.0,5.1
2015-12-01,25.25,34.5,158035.0,236.525,143077.0,5.0
2016-01-01,25.37,34.6,158280.0,236.916,143210.0,4.8
2016-02-01,25.38,34.4,158640.0,237.111,143406.0,4.9
2016-03-01,25.45,34.4,159179.0,238.132,143662.0,5.0
2016-04-01,25.53,34.4,159141.0,239.261,143854.0,5.1
2016-05-01,25.58,34.4,158784.0,240.229,143900.0,4.8
2016-06-01,25.62,34.4,158967.0,241.018,144147.0,4.9
2016-07-01,25.69,34.5,159194.0,240.628,144520.0,4.8
2016-08-01,25.71,34.3,159562.0,240.849,144661.0,4.9
2016-09-01,25.77,34.4,159714.0,241.428,144967.0,5.0
2016-10-01,25.9,34.4,159605.0,241.729,145065.0,4.9
2016-11-01,25.9,34.4,159506.0,241.353,145183.0,4.7
2016-12-01,25.93,34.4,159678.0,241.432,145408.0,4.7
2017-01-01,26.0,34.4,159620.0,242.839,145628.0,4.7
2017-02-01,26.07,34.3,159859.0,243.603,145846.0,4.6
2017-03-01,26.11,34.3,160137.0,243.801,145970.0,4.4
2017-04-01,26.18,34.4,160345.0,244.524,146175.0,4.4
2017-05-01,26.21,34.4,160068.0,244.733,146380.0,4.4
2017-06-01,26.26,34.4,160192.0,244.955,146583.0,4.3
2017-07-01,26.35,34.4,160462.0,244.786,146772.0,4.3
2017-08-01,26.37,34.4,160586.0,245.519,146919.0,4.4
2017-09-01,26.49,34.4,161140.0,246.819,147008.0,4.3
2017-10-01,26.5,34.4,160309.0,246.663,147149.0,4.2
2017-11-01,26.54,34.5,160579.0,246.669,147372.0,4.2
2017-12-01,26.63,34.5,160535.0,246.524,147523.0,4.1
2018-01-01,26.72,34.4,160914.0,247.867,147660.0,4.0
2018-02-01,26.74,34.5,161778.0,248.991,148054.0,4.1
2018-03-01,26.85,34.5,161686.0,249.554,148280.0,4.0
2018-04-01,26.91,34.5,161771.0,250.546,148420.0,4.0
2018-05-01,26.98,34.5,161848.0,251.588,148742.0,3.8
2018-06-01,27.03,34.5,162210.0,251.989,148960.0,4.0
2018-07-01,27.1,34.5,162341.0,252.006,149020.0,3.8
2018-08-01,27.21,34.5,161660.0,252.146,149277.0,3.8
2018-09-01,27.32,34.4,162087.0,252.439,149358.0,3.7
2018-10-01,27.37,34.5,162602.0,252.885,149527.0,3.8
2018-11-01,27.44,34.4,162836.0,252.038,149617.0,3.8
2018-12-01,27.56,34.5,163206.0,251.233,149809.0,3.9
2019-01-01,27.59,34.5,162963.0,251.712,150060.0,4.0
2019-02-01,27.69,34.4,162999.0,252.776,150067.0,3.8
2019-03-01,27.77,34.5,162904.0,254.202,150295.0,3.8
2019-04-01,27.79,34.4,162586.0,255.548,150591.0,3.7
2019-05-01,27.88,34.4,162751.0,256.092,150618.0,3.6
2019-06-01,27.97,34.4,163168.0,256.143,150838.0,3.6
2019-07-01,28.03,34.4,163590.0,256.571,150937.0,3.7
2019-08-01,28.14,34.4,163774.0,256.558,151169.0,3.6
2019-09-01,28.16,34.4,164092.0,256.759,151365.0,3.5
2019-10-01,28.24,34.4,164416.0,257.346,151460.0,3.6
2019-11-01,28.34,34.3,164496.0,257.208,151667.0,3.6
2019-12-01,28.38,34.3,164699.0,256.974,151794.0,3.6
2020-01-01,28.43,34.3,164377.0,257.971,152031.0,3.6
2020-02-01,28.54,34.3,164467.0,258.678,152293.0,3.5
2020-03-01,28.73,34.1,162559.0,258.115,150895.0,4.4
